name, start, end, estimate, cost, label
吃饭&其他,2021-7-10 9:46,2021-7-10 10:13,10,26.69,0
幸福课,2021-7-10 10:13,2021-7-10 12:01,10,108,1
rest&mess,2021-7-10 12:01,2021-7-10 12:55,10,54.23,0
sleep,2021-7-10 12:55,2021-7-10 14:03,10,68.39,0
整理账单&看直播,2021-7-10 14:03,2021-7-10 16:25,10,141.9,0
英语定语从句,2021-7-10 17:00,2021-7-10 18:23,10,83.16,1
英语状语从句,2021-7-10 18:23,2021-7-10 18:57,10,34.34,1
英语,2021-7-10 18:57,2021-7-10 19:23,10,25.7,1
rest&mess,2021-7-10 19:23,2021-7-10 20:08,10,45.49,0
英语特殊句式,2021-7-10 20:08,2021-7-10 20:54,10,45.61,1
幸福课,2021-7-11 10:55,2021-7-11 12:22,10,87.03,1
中午吃饭休息之类的,2021-7-11 12:22,2021-7-11 15:10,10,167.76,0
幸福课剩余的部分30min,2021-7-11 15:10,2021-7-11 15:44,10,34.82,1
汤家凤极限与连续,2021-7-11 16:47,2021-7-11 18:07,10,79.09,1
rest,2021-7-11 18:07,2021-7-11 19:04,10,57.71,0
汤家凤极限与连续,2021-7-11 19:04,2021-7-11 20:04,10,59.27,1
幸福课,2021-7-12 11:14,2021-7-12 12:05,10,51.51,1
中午&睡觉 QAQ,2021-7-12 12:05,2021-7-12 18:37,10,391.28,0
杂事,2021-7-12 18:37,2021-7-12 21:18,10,161.75,0
数学极限与连续,2021-7-12 21:18,2021-7-12 23:25,10,127.1,1
杂项,2021-7-12 23:25,2021-7-12 23:58,10,32.83,0
中午整理杂事,2021-7-13 11:59,2021-7-13 12:29,20,29.92,0
学英语,2021-7-13 12:29,2021-7-13 13:00,20,31.59,0
中午吃饭&睡觉,2021-7-13 13:00,2021-7-13 16:38,60,218.17,0
geer up,2021-7-13 16:38,2021-7-13 17:08,18,29.97,1
学习英语,2021-7-13 17:08,2021-7-13 17:24,10,15.36,1
数学第二章视频x2,2021-7-13 17:24,2021-7-13 18:22,60,57.79,1
relax,2021-7-13 18:22,2021-7-13 18:57,30,35.53,0
数学第二章x2,2021-7-13 18:57,2021-7-13 19:58,60,61.21,1
settle,2021-7-13 19:58,2021-7-13 20:06,5,7.57,0
吃饭,2021-7-13 20:07,2021-7-13 20:43,50,36.09,0
洗澡,2021-7-13 20:43,2021-7-13 21:16,30,33.48,0
