"Project name","Task name","Date","Start time","End time","Duration","Time zone","Project archived","Task completed"
"🌿日常","吃饭","25 Sep 2021","18:54","19:19","00:25:47","+08:00","false","false"
"🌿日常",,"25 Sep 2021","20:12","21:36","01:24:37","+08:00","false",
"🌿日常","通勤","25 Sep 2021","21:37","22:10","00:32:49","+08:00","false","false"
"🌿日常",,"25 Sep 2021","22:10","22:18","00:08:41","+08:00","false",
"🌿娱乐",,"25 Sep 2021","22:20","23:59","01:39:13","+08:00","false",
"🌿娱乐",,"26 Sep 2021","00:00","00:28","00:28:17","+08:00","false",
"🌿日常","吃饭","26 Sep 2021","08:34","08:57","00:23:23","+08:00","false","false"
"🌿娱乐",,"26 Sep 2021","08:57","09:27","00:29:39","+08:00","false",
"🌿日常","考研预报名","26 Sep 2021","09:27","12:08","02:40:33","+08:00","false","true"
"🌿日常","数二英二预处理","26 Sep 2021","12:08","12:42","00:33:05","+08:00","false","true"
"🌿日常","吃饭","26 Sep 2021","12:52","13:26","00:33:40","+08:00","false","false"
"🌿日常","数二英二预处理","26 Sep 2021","13:26","15:31","02:05:17","+08:00","false","true"
"🌿娱乐",,"26 Sep 2021","15:56","16:08","00:11:43","+08:00","false",
"🐋自我提升","冥想","26 Sep 2021","16:08","16:21","00:12:53","+08:00","false","false"
"🌿日常","睡觉","26 Sep 2021","16:21","17:01","00:39:53","+08:00","false","false"
"🌿日常","吃饭","26 Sep 2021","17:29","17:39","00:10:26","+08:00","false","false"
"🌿日常",,"26 Sep 2021","18:03","18:05","00:02:11","+08:00","false",
"🌟学习","复习线性代数（30min＋）","26 Sep 2021","18:11","20:01","01:49:19","+08:00","false","true"
"🌟学习","政治（60min）","26 Sep 2021","20:12","21:16","01:03:51","+08:00","false","true"
"🌟学习","学习规划与总结（调整3项（20min）","26 Sep 2021","21:16","21:23","00:06:22","+08:00","false","true"
"🌟学习","英语单词（60min）","27 Sep 2021","10:37","11:06","00:29:02","+08:00","false","true"
